lat,lon
-34.5816115,-58.4684432
-34.5816554,-58.4673103
-34.5816832,-58.4661809
-34.5825315,-58.4553612
-34.5843283,-58.450759
-34.5848804,-58.4495546
-34.5853281,-58.4485117
-34.5857713,-58.4474673
-34.5904694,-58.440663
-34.5921405,-58.4391047
-34.5926892,-58.4385815
-34.5978049,-58.4337855
-34.6007736,-58.4310392
-34.6017266,-58.4318614
-34.6001781,-58.4332981
-34.5923232,-58.4406422
-34.5912491,-58.4416338
-34.587639,-58.4456931
-34.5859139,-58.4498651
-34.5838573,-58.4545767
-34.5796639,-58.4535151
-34.5804754,-58.4721179
-34.5805866,-58.4661387
-34.5790325,-58.4660703
-34.5841074,-58.466327
-34.5805551,-58.467273
-34.5788019,-58.4683379
-34.5805202,-58.4683981
-34.583407,-58.4685248
-34.5843875,-58.4665222
-34.5855604,-58.4620776
-34.5903757,-58.4671203
-34.5895355,-58.4658947
-34.588633,-58.464936
-34.5877685,-58.4639955
-34.5856733,-58.4617595
-34.5851929,-58.4654127
-34.5869624,-58.4672912
-34.5887305,-58.4692206
-34.5898539,-58.4703669
-34.5906489,-58.471243
-34.5878224,-58.4682404
-34.5870441,-58.4693067
-34.5863077,-58.4703719
-34.5804891,-58.4695354
-34.583798,-58.4696174
-34.5852229,-58.4697051
-34.5846863,-58.4682377
-34.5874694,-58.4708391
-34.6015955,-58.4769595
-34.6017371,-58.4761855
-34.602989,-58.4704032
-34.5992382,-58.4694746
-34.601494,-58.4702742
-34.5995208,-58.4681678
-34.6018178,-58.4688842
-34.605316,-58.4740091
-34.6066521,-58.4762033
-34.607304,-58.4774579
-34.6088648,-58.4834485
-34.6008162,-58.4775083
-34.6078976,-58.472054
-34.611952,-58.468952
-34.6162763,-58.4656922
-34.6222085,-58.4627976
-34.6262188,-58.4608103
-34.6356257,-58.4562902
-34.6387223,-58.4536831
-34.592631,-58.4486367
-34.5978493,-58.4554656
-34.6029178,-58.4643191
-34.6032777,-58.4628975
-34.5967045,-58.4592125
-34.6036452,-58.4614544
-34.6040142,-58.4600325
-34.5970463,-58.4578284
-34.5975911,-58.4562499
-34.6037814,-58.4581353
-34.578567,-58.4694476
-34.5783598,-58.458502
-34.5844802,-58.4425086
-34.5908324,-58.4333877
-34.5937013,-58.4291536
-34.5731103,-58.4482978
-34.5818525,-58.4594758
-34.5712017,-58.452931
-34.5855402,-58.4692001
-34.5837729,-58.4673984
-34.5861716,-58.4683483
-34.5879295,-58.4702382
-34.5898341,-58.4722117
-34.5850063,-58.4678001
-34.5858486,-58.4687777
-34.5857235,-58.4667946
-34.5866244,-58.4677226
-34.5837711,-58.4720489
-34.5868609,-58.4708702
-34.5850824,-58.4708878
-34.5849765,-58.4720728
-34.5947812,-58.4542211
-34.5941093,-58.4550915
-34.591787,-58.4540829
-34.5939247,-58.453289
-34.5932661,-58.4541733
-34.5926538,-58.4549952
-34.5935005,-58.4559014
-34.5943515,-58.4568183
-34.5949577,-58.4560376
-34.5966153,-58.4607888
-34.5965359,-58.4623361
-34.5910763,-58.4660451
-34.5923767,-58.4679861
-34.5930633,-58.4690722
-34.5937506,-58.4701141
-34.5812654,-58.4743104
-34.5833731,-58.4729034
-34.5868987,-58.4711306
-34.5869389,-58.4707412
-34.5870994,-58.4797793
-34.582238,-58.4735779
-34.5853544,-58.4746911
-34.5863531,-58.4760344
-34.5903361,-58.4811339
-34.5868384,-58.4816886
-34.5891936,-58.479735
-34.5910842,-58.4782086
-34.5907413,-58.4795279
-34.5902374,-58.4788759
-34.5870702,-58.4747069
-34.5843369,-58.4724631
-34.5842121,-58.479374
-34.5791203,-58.4789799
-34.581277,-58.479165
-34.5794258,-58.48194
-34.5811905,-58.4804453
-34.5820951,-58.4800367
-34.5829197,-58.4784732
-34.59372,-58.4514776
-34.5930621,-58.4523555
-34.5911488,-58.4502323
-34.5910059,-58.453262
-34.5932604,-58.449362
-34.5967582,-58.4656436
-34.5974041,-58.462601
-34.5976971,-58.4611297
-34.5983047,-58.4582099
-34.5986922,-58.4565979
-34.5987688,-58.4549654
-34.5995578,-58.4542504
-34.6002961,-58.4535606
-34.6008642,-58.4530343
-34.603536,-58.4505871
-34.6068513,-58.4475817
-34.60735,-58.4473425
-34.6041484,-58.4515746
-34.6015193,-58.4539853
-34.5977828,-58.4659422
-34.5987572,-58.4614778
-34.5997264,-58.4568896
-34.5994756,-58.4632592
-34.5991808,-58.4647146
-34.5997819,-58.4617821
-34.6000868,-58.4603463
-34.6007752,-58.4572081
-34.600414,-58.4588786
-34.6002068,-58.4650521
-34.60051,-58.4635719
-34.6008282,-58.4621282
-34.6011339,-58.4606675
-34.6014336,-58.4591972
-34.6017927,-58.4575329
-34.6018968,-58.4569997
-34.6002393,-58.4551798
-34.5988542,-58.4532786
-34.5963912,-58.4560558
-34.5983923,-58.4537211
-34.5840658,-58.4690888
-34.5782655,-58.4708624
-34.5821522,-58.475492
-34.5825971,-58.4751192
-34.5831628,-58.4746472
-34.5842284,-58.47374
-34.5850626,-58.4730474
-34.5845049,-58.4776408
-34.5851877,-58.478542
-34.5840464,-58.477995
-34.5850882,-58.4771295
-34.5884915,-58.4721447
-34.5911919,-58.4778343
-34.5889853,-58.4750115
-34.5877648,-58.4734533
-34.5877168,-58.4778176
-34.5859204,-58.4794914
-34.5864872,-58.4789569
-34.5887281,-58.4769004
-34.5897316,-58.475986
-34.5907783,-58.4750397
-34.591324,-58.4758256
-34.5900482,-58.474053
-34.588328,-58.4719268
-34.5889993,-58.4688754
-34.5875407,-58.4753022
-34.5883753,-58.4742374
-34.589257,-58.4731067
-34.5877063,-58.4761966
-34.5867151,-58.4753578
-34.5856548,-58.4744421
-34.5821934,-58.4773911
-34.5830302,-58.4766511
-34.5862035,-58.4739859
-34.5859146,-58.4764249
-34.5813771,-58.4783003
-34.5805358,-58.4775864
-34.5795348,-58.4772342
-34.5799728,-58.4754335
-34.5808117,-58.4764174
-34.58183,-58.4777169
-34.5834415,-58.4812415
-34.5837688,-58.4817562
-34.58426,-58.4825578
-34.5837301,-58.4793445
-34.5836389,-58.4801507
-34.5825778,-58.4809114
-34.583369,-58.4836974
-34.5823134,-58.4824771
-34.5817242,-58.4814932
-34.5765994,-58.4827255
-34.5783868,-58.4801046
-34.5743786,-58.4801374
-34.5752742,-58.4794441
-34.5741875,-58.4797337
-34.5811551,-58.4906444
-34.5822394,-58.4917683
-34.5835954,-58.4940058
-34.5864089,-58.4985318
-34.5910712,-58.5060698
-34.5925463,-58.5084253
-34.5847533,-58.4789386
-34.5891086,-58.4846969
-34.5967231,-58.4970443
-34.5991206,-58.5008879
-34.5927841,-58.4963174
-34.594255,-58.4949815
-34.5950144,-58.494276
-34.5851575,-58.481641
-34.589319,-58.4776964
-34.5903429,-58.4767501
-34.5922822,-58.4743012
-34.5900969,-58.4691816
-34.5715233,-58.4595502
-34.5800547,-58.4721356
-34.5776302,-58.473672
-34.5796616,-58.4736545
-34.5809074,-58.4736509
-34.5785526,-58.4721578
-34.5786394,-58.4736643
-34.5787513,-58.4765593
-34.5791444,-58.4736599
